video_path,label
diving48/24/Le6xdQ2OO8w_00201.mp4,backward 1.5 somersaults in pike position
diving48/25/Le6xdQ2OO8w_00256.mp4,backward 1.5 somersaults in pike position
diving48/3/mGRum47TLX0_00032.mp4,backward 1.5 somersaults in pike position
diving48/3/yHo2oERGo7A_00008.mp4,backward 1.5 somersaults in pike position
diving48/3/zmacW6f2Tdk_00039.mp4,backward 1.5 somersaults in pike position
diving48/4/CVAfPfVFulQ_00079.mp4,backward 1.5 somersaults in pike position
diving48/4/Le6xdQ2OO8w_00228.mp4,backward 1.5 somersaults in pike position
diving48/7/roFeEJPgJD8_00038.mp4,backward 1.5 somersaults in pike position
diving48/0/bSsVWVfYU4w_00163.mp4,backward 1.5 somersaults in tuck position
diving48/24/Le6xdQ2OO8w_00180.mp4,backward 1.5 somersaults in tuck position
diving48/31/Le6xdQ2OO8w_00234.mp4,backward 1.5 somersaults in tuck position
diving48/32/Le6xdQ2OO8w_00235.mp4,backward 1.5 somersaults in tuck position
diving48/32/Le6xdQ2OO8w_00253.mp4,backward 1.5 somersaults in tuck position
diving48/0/8qRmKunCjtY_00016.mp4,backward 1.5 somersaults with 0.5 twist in free position
diving48/0/CVAfPfVFulQ_00048.mp4,backward 1.5 somersaults with 0.5 twist in free position
diving48/0/CVAfPfVFulQ_00081.mp4,backward 1.5 somersaults with 0.5 twist in free position
diving48/0/L_SB1PRgDTE_00019.mp4,backward 1.5 somersaults with 0.5 twist in free position
diving48/0/MbzIpx8kAD0_00035.mp4,backward 1.5 somersaults with 0.5 twist in free position
diving48/0/TMJ1XIZBRW4_00024.mp4,backward 1.5 somersaults with 0.5 twist in free position
diving48/0/TMJ1XIZBRW4_00054.mp4,backward 1.5 somersaults with 0.5 twist in free position
diving48/0/bl0C6d9QgIg_00018.mp4,backward 1.5 somersaults with 0.5 twist in free position
diving48/0/mGRum47TLX0_00045.mp4,backward 1.5 somersaults with 0.5 twist in free position
diving48/0/ovWCmIMMkRI_00053.mp4,backward 1.5 somersaults with 0.5 twist in free position
diving48/0/ovWCmIMMkRI_00055.mp4,backward 1.5 somersaults with 0.5 twist in free position
diving48/0/zmacW6f2Tdk_00048.mp4,backward 1.5 somersaults with 0.5 twist in free position
diving48/15/Le6xdQ2OO8w_00067.mp4,backward 1.5 somersaults with 0.5 twist in free position
diving48/15/Le6xdQ2OO8w_00068.mp4,backward 1.5 somersaults with 0.5 twist in free position
diving48/24/Le6xdQ2OO8w_00158.mp4,backward 1.5 somersaults with 0.5 twist in free position
diving48/24/bSsVWVfYU4w_00135.mp4,backward 1.5 somersaults with 0.5 twist in free position
diving48/31/Le6xdQ2OO8w_00139.mp4,backward 1.5 somersaults with 0.5 twist in free position
diving48/32/L_SB1PRgDTE_00030.mp4,backward 1.5 somersaults with 0.5 twist in free position
diving48/36/bSsVWVfYU4w_00086.mp4,backward 1.5 somersaults with 0.5 twist in free position
diving48/1/SbzcCzXjYSU_00052.mp4,backward 1.5 somersaults with 1.5 twists in free position
diving48/1/SbzcCzXjYSU_00058.mp4,backward 1.5 somersaults with 1.5 twists in free position
diving48/1/TMJ1XIZBRW4_00052.mp4,backward 1.5 somersaults with 1.5 twists in free position
diving48/1/TMJ1XIZBRW4_00055.mp4,backward 1.5 somersaults with 1.5 twists in free position
diving48/1/cs8g1es4vfM_00011.mp4,backward 1.5 somersaults with 1.5 twists in free position
diving48/1/cs8g1es4vfM_00040.mp4,backward 1.5 somersaults with 1.5 twists in free position
diving48/1/ovWCmIMMkRI_00033.mp4,backward 1.5 somersaults with 1.5 twists in free position
