video_path,label
k400/full/test/fvH9_lZOsm8_000011_000021.mp4,abseiling
k400/full/test/qPrj_BOLUwo_000066_000076.mp4,abseiling
k400/full/test/JFc9HpYKA60_000005_000015.mp4,air drumming
k400/full/test/PlNh0CaWWX4_000025_000035.mp4,air drumming
k400/full/test/CNqeb5r2OAo_000010_000020.mp4,answering questions
k400/full/test/ks7_9iMKqDM_000127_000137.mp4,answering questions
k400/full/test/KXlo_y9I2io_000000_000010.mp4,applauding
k400/full/test/bwATOiTCQcY_000000_000010.mp4,applauding
k400/full/test/pAYYx0zGDKk_000115_000125.mp4,applying cream
k400/full/test/ptSWE1cNZJQ_000003_000013.mp4,applying cream
k400/full/test/4WeXb8xc89U_000049_000059.mp4,archery
k400/full/test/NU4szf0WV6U_000032_000042.mp4,archery
k400/full/test/V2Kbo7QuF40_000015_000025.mp4,arm wrestling
k400/full/test/aAnPsJwSCYo_000004_000014.mp4,arm wrestling
k400/full/test/7-gM0CcZRYM_000483_000493.mp4,arranging flowers
k400/full/test/npL2xJ_zksA_000086_000096.mp4,arranging flowers
k400/full/test/TNxHYPXdibQ_000062_000072.mp4,assembling computer
k400/full/test/c0B_ueoduJY_000706_000716.mp4,assembling computer
k400/full/test/gWCg7sj0OTg_000024_000034.mp4,auctioning
k400/full/test/xhuKQ7BafJk_000076_000086.mp4,auctioning
k400/full/test/c6NekEJHcEU_000002_000012.mp4,baby waking up
k400/full/test/jIUDlme-GzM_000067_000077.mp4,baby waking up
k400/full/test/QUPDQhyYje4_000095_000105.mp4,baking cookies
k400/full/test/R8bQq3Ave-4_000036_000046.mp4,baking cookies
k400/full/test/0puIOKy4jTE_000006_000016.mp4,balloon blowing
k400/full/test/KIaK6hKuYGI_000304_000314.mp4,balloon blowing
k400/full/test/3JY9c0mCZ_o_000110_000120.mp4,bandaging
k400/full/test/NTPzrXPm8VM_000048_000058.mp4,bandaging
k400/full/test/J0lIL05tzCk_000118_000128.mp4,barbequing
k400/full/test/yuGsRB_kgbg_000025_000035.mp4,barbequing
k400/full/test/eehJKD-8e2Q_000109_000119.mp4,bartending
k400/full/test/wJEz1FRIs8c_000000_000010.mp4,bartending
k400/full/test/UPPdtowbotE_000041_000051.mp4,beatboxing
k400/full/test/tBmN034VsEc_000127_000137.mp4,beatboxing
k400/full/test/8__-z5aNVQo_000244_000254.mp4,bee keeping
k400/full/test/a645_F7geMY_000070_000080.mp4,bee keeping
k400/full/test/psitjSAB-m0_000332_000342.mp4,belly dancing
k400/full/test/yWkfVxYQNvE_000113_000123.mp4,belly dancing
k400/full/test/-0tnFi1az8k_000014_000024.mp4,bench pressing
k400/full/test/0V16kxBu8rY_000003_000013.mp4,bench pressing
k400/full/test/SDAlXTc0De4_000012_000022.mp4,bending back
k400/full/test/dKJBDSbLp80_000008_000018.mp4,bending back
k400/full/test/BGZ68B_DN4w_000284_000294.mp4,bending metal
k400/full/test/QMtvkZhVOcE_000011_000021.mp4,bending metal
k400/full/test/FGZIP-NpcJM_000044_000054.mp4,biking through snow
k400/full/test/z3bHpbNqXVM_000072_000082.mp4,biking through snow
k400/full/test/5nDzyjdRv28_000111_000121.mp4,blasting sand
k400/full/test/pPQ6LsveKVk_000008_000018.mp4,blasting sand
k400/full/test/30Y8XclCO0U_000027_000037.mp4,blowing glass
k400/full/test/9jzIL-GN-0E_000001_000011.mp4,blowing glass
k400/full/test/8tMjfbTv6yY_000127_000137.mp4,blowing leaves
k400/full/test/uzHz90MNqHA_000006_000016.mp4,blowing leaves
k400/full/test/5QnymN1FwrU_000001_000011.mp4,blowing nose
k400/full/test/ENRC0RUFEaM_000004_000014.mp4,blowing nose
k400/full/test/YTgk4pBJupA_000010_000020.mp4,blowing out candles
k400/full/test/eeszfUV_Hv8_000055_000065.mp4,blowing out candles
k400/full/test/PmYu8C27Gwo_000049_000059.mp4,bobsledding
k400/full/test/SHFHrRJ7Ql4_000001_000011.mp4,bobsledding
k400/full/test/djLt4bkXiGE_000351_000361.mp4,bookbinding
k400/full/test/z0S1q5sW-38_000456_000466.mp4,bookbinding
k400/full/test/BFjwifIyjrs_000004_000014.mp4,bouncing on trampoline
k400/full/test/NW2cmBYr-lU_000004_000014.mp4,bouncing on trampoline
k400/full/test/-yoU-7VipS4_000001_000011.mp4,bowling
k400/full/test/06JH4z9tSOY_000007_000017.mp4,bowling
k400/full/test/8JvgLkqEGL8_000036_000046.mp4,braiding hair
k400/full/test/yJBOfOmqepk_000059_000069.mp4,braiding hair
k400/full/test/XdvGYYMEOko_000030_000040.mp4,breading or breadcrumbing
k400/full/test/jyL5RdLLFDs_000103_000113.mp4,breading or breadcrumbing
k400/full/test/Q8qqrVtQlsU_000043_000053.mp4,breakdancing
k400/full/test/no3p50pVCWA_000125_000135.mp4,breakdancing
k400/full/test/62TdurLoOro_000241_000251.mp4,brush painting
k400/full/test/YP-21xl79r8_000006_000016.mp4,brush painting
k400/full/test/jbuZKqRCNzI_000665_000675.mp4,brushing hair
k400/full/test/sqDWyoFBGsg_000000_000010.mp4,brushing hair
k400/full/test/YJhoC8NNYgE_000026_000036.mp4,brushing teeth
k400/full/test/z7NCo1ufAtE_000007_000017.mp4,brushing teeth
k400/full/test/FPAldswJpkI_000080_000090.mp4,building cabinet
k400/full/test/W1iV-SzVhg0_000149_000159.mp4,building cabinet
k400/full/test/VvpbgjcCxwE_000010_000020.mp4,building shed
k400/full/test/Y-6osPrbJiI_000120_000130.mp4,building shed
k400/full/test/8DXmP86wpSo_000032_000042.mp4,bungee jumping
k400/full/test/D1TO-ZHPh-s_000016_000026.mp4,bungee jumping
k400/full/test/daXPGN-M3ac_000112_000122.mp4,busking
k400/full/test/uzlB5m0Qojs_000012_000022.mp4,busking
k400/full/test/GVa-GhJz10o_000017_000027.mp4,canoeing or kayaking
k400/full/test/SDDxHBGKjls_000273_000283.mp4,canoeing or kayaking
k400/full/test/Ll7fpmXOfBQ_000001_000011.mp4,capoeira
k400/full/test/kzG_CttdquU_000033_000043.mp4,capoeira
k400/full/test/Vj5QkVAQWac_000016_000026.mp4,carrying baby
k400/full/test/w42ec6tG_X4_000145_000155.mp4,carrying baby
k400/full/test/qs4pQHXOZhQ_000006_000016.mp4,cartwheeling
k400/full/test/rdealS_WucU_000000_000010.mp4,cartwheeling
k400/full/test/ici80S-UvDg_000153_000163.mp4,carving pumpkin
k400/full/test/p3swV7t-2jQ_000003_000013.mp4,carving pumpkin
